anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
47,15,18,1937,2022-04-25,1857
53,22,15,1489,2022-04-26,1399
41,11,10,1777,2022-04-27,1715
71,35,10,1947,2022-04-28,1831
52,20,12,2314,2022-04-29,2230
32,17,12,1646,2022-04-30,1585
68,34,14,1880,2022-05-01,1764
55,27,34,2591,2022-05-02,2475
35,26,35,2150,2022-05-03,2054
70,27,32,1854,2022-05-04,1725
41,15,43,1975,2022-05-05,1876
59,29,31,1829,2022-05-06,1710
37,18,32,2106,2022-05-07,2019
29,12,35,1288,2022-05-08,1212
45,25,10,1460,2022-05-09,1380
50,22,26,2342,2022-05-10,2244
54,21,32,2114,2022-05-11,2007
61,36,34,2158,2022-05-12,2027
56,17,16,2067,2022-05-13,1978
62,30,18,2010,2022-05-14,1900
59,17,11,2180,2022-05-15,2093
40,16,17,1489,2022-05-16,1416
82,41,19,2096,2022-05-17,1954
128,24,22,2453,2022-05-18,2279
87,17,23,1947,2022-05-19,1820
41,35,9,1654,2022-05-20,1569
40,18,10,1795,2022-05-21,1727
75,22,17,1895,2022-05-22,1781
49,22,14,2029,2022-05-23,1944
46,11,16,1310,2022-05-24,1237
91,26,14,1825,2022-05-25,1694
126,28,21,2395,2022-05-26,2220
62,13,7,1578,2022-05-27,1496
41,19,14,1309,2022-05-28,1235
43,11,8,1561,2022-05-29,1499
64,22,14,1598,2022-05-30,1498
43,18,11,1958,2022-05-31,1886
24,4,6,1035,2022-06-01,1001
78,21,13,1637,2022-06-02,1525
100,23,14,2105,2022-06-03,1968
66,8,22,1651,2022-06-04,1555
50,23,15,1545,2022-06-05,1457
36,17,14,1736,2022-06-06,1669
56,25,19,1591,2022-06-07,1491
45,17,15,2034,2022-06-08,1957
33,10,14,1227,2022-06-09,1170
94,26,18,1790,2022-06-10,1652
276,12,55,2372,2022-06-11,2029
105,12,40,1879,2022-06-12,1722
65,20,21,1600,2022-06-13,1494
42,15,28,1728,2022-06-14,1643
65,27,38,1641,2022-06-15,1511
59,10,58,2048,2022-06-16,1921
39,7,19,1420,2022-06-17,1355
73,27,28,1702,2022-06-18,1574
223,12,59,2300,2022-06-19,2006
77,5,42,1786,2022-06-20,1662
89,9,37,1242,2022-06-21,1107
188,1,77,1350,2022-06-22,1084
89,9,63,1542,2022-06-23,1381
29,4,35,1650,2022-06-24,1582
23,1,53,1218,2022-06-25,1141
42,8,6,1256,2022-06-26,1200
49,8,8,1445,2022-06-27,1380
46,6,9,1529,2022-06-28,1468
51,9,64,1691,2022-06-29,1567
52,8,26,1663,2022-06-30,1577
39,4,22,1557,2022-07-01,1492
47,5,4,1494,2022-07-02,1438
120,3,39,1385,2022-07-03,1223
59,3,16,1249,2022-07-04,1171
63,6,70,1535,2022-07-05,1396
60,6,27,1316,2022-07-06,1223
51,3,5,1268,2022-07-07,1209
62,6,13,1538,2022-07-08,1457
51,5,43,1208,2022-07-09,1109
49,12,30,1330,2022-07-10,1239
48,12,10,1197,2022-07-11,1127
46,3,10,1388,2022-07-12,1329
35,8,11,1339,2022-07-13,1285
29,2,20,966,2022-07-14,915
40,9,19,1338,2022-07-15,1270
37,4,17,1214,2022-07-16,1156
112,8,56,1276,2022-07-17,1100
51,8,18,1422,2022-07-18,1345
58,12,28,1513,2022-07-19,1415
38,6,17,1297,2022-07-20,1236
30,1,12,970,2022-07-21,927
43,5,18,1114,2022-07-22,1048
41,7,23,1188,2022-07-23,1117
38,6,23,1129,2022-07-24,1062
29,7,11,960,2022-07-25,913
39,3,11,1248,2022-07-26,1195
18,4,5,847,2022-07-27,820
39,2,30,1221,2022-07-28,1150
36,6,35,1399,2022-07-29,1322
36,2,26,1206,2022-07-30,1142
87,7,29,1063,2022-07-31,940
41,10,28,1179,2022-08-01,1100
39,5,22,1083,2022-08-02,1017
52,5,12,1314,2022-08-03,1245
52,6,19,1117,2022-08-04,1040
71,3,22,1418,2022-08-05,1322
51,2,12,979,2022-08-06,914
58,6,14,1339,2022-08-07,1261
57,7,15,1460,2022-08-08,1381
39,4,8,935,2022-08-09,884
39,1,7,909,2022-08-10,862
42,5,18,1177,2022-08-11,1112
43,4,15,1339,2022-08-12,1277
53,4,15,1334,2022-08-13,1262
74,7,27,1517,2022-08-14,1409
36,11,14,1078,2022-08-15,1017
46,7,70,1142,2022-08-16,1019
70,3,40,1225,2022-08-17,1112
124,4,92,1259,2022-08-18,1039
142,6,83,1453,2022-08-19,1222
161,3,57,1465,2022-08-20,1244
71,5,32,793,2022-08-21,685
127,9,50,1229,2022-08-22,1043
120,3,40,1173,2022-08-23,1010
134,3,55,1324,2022-08-24,1132
152,5,52,1437,2022-08-25,1228
153,0,62,1355,2022-08-26,1140
140,0,43,1361,2022-08-27,1178
155,10,51,1411,2022-08-28,1195
161,4,39,1302,2022-08-29,1098
147,4,29,1229,2022-08-30,1049
136,2,17,1108,2022-08-31,953
200,12,23,1480,2022-09-01,1245
150,7,20,1211,2022-09-02,1034
138,5,40,1117,2022-09-03,934
170,3,25,1176,2022-09-04,978
136,8,47,1262,2022-09-05,1071
148,5,25,1206,2022-09-06,1028
119,2,26,1617,2022-09-07,1470
148,3,19,1470,2022-09-08,1300
159,3,36,1521,2022-09-09,1323
158,19,12,1397,2022-09-10,1208
121,4,13,997,2022-09-11,859
143,5,16,1289,2022-09-12,1125
89,2,36,779,2022-09-13,652
138,6,9,1067,2022-09-14,914
179,6,22,1684,2022-09-15,1477
87,1,47,1468,2022-09-16,1333
101,6,62,1492,2022-09-17,1323
142,2,31,1717,2022-09-18,1542
151,10,42,1657,2022-09-19,1454
97,5,27,1297,2022-09-20,1168
149,5,47,1492,2022-09-21,1291
132,4,10,1448,2022-09-22,1302
116,3,16,1236,2022-09-23,1101
131,6,31,1408,2022-09-24,1240
47,2,51,1175,2022-09-25,1075
81,5,19,1216,2022-09-26,1111
93,2,45,1189,2022-09-27,1049
117,5,8,1364,2022-09-28,1234
287,6,12,1323,2022-09-29,1018
214,5,11,1346,2022-09-30,1116
121,2,24,1288,2022-10-01,1141
106,7,42,1231,2022-10-02,1076
73,2,11,845,2022-10-03,759
119,8,5,1250,2022-10-04,1118
93,2,64,1083,2022-10-05,924
154,4,10,1297,2022-10-06,1129
84,1,33,824,2022-10-07,706
87,2,25,1010,2022-10-08,896
119,2,9,1191,2022-10-09,1061
174,4,30,1602,2022-10-10,1394
111,4,24,1057,2022-10-11,918
142,3,7,1200,2022-10-12,1048
116,0,7,1222,2022-10-13,1099
124,1,3,1064,2022-10-14,936
91,3,34,1049,2022-10-15,921
98,7,10,1213,2022-10-16,1098
86,1,4,876,2022-10-17,785
128,3,23,1217,2022-10-18,1063
144,2,40,1309,2022-10-19,1123
96,2,10,958,2022-10-20,850
97,4,16,957,2022-10-21,840
122,3,13,1316,2022-10-22,1178
108,2,48,1053,2022-10-23,895
102,3,12,1232,2022-10-24,1115
65,10,8,1072,2022-10-25,989
17,0,3,363,2022-10-26,343
